767,33,4,1
1080,34,5,1
1077,60,3,0
1049,50,5,1
847,47,5,1
1080,49,2,0
858,39,5,1
858,39,4,1
1077,24,5,1
1077,34,5,1
1077,53,3,0
1095,39,5,1
1095,53,5,1
767,44,5,1
1077,50,3,1
1065,47,4,1
1065,34,3,1
853,41,5,1
1120,32,5,1
1077,47,5,1
847,33,4,1
1080,55,4,1
1077,31,2,0
1077,34,3,1
847,55,5,1
697,31,3,0
949,33,2,0
1003,31,4,1
684,53,5,1
4,28,5,1
1060,33,5,1
1060,46,5,1
1060,21,5,1
949,36,2,0
697,39,5,1
1060,65,4,1
1002,29,4,1
949,38,5,1
684,36,5,1
862,59,5,1
862,47,4,1
862,40,5,1
910,23,5,1
89,67,4,1
862,48,5,1
862,43,4,1
862,40,5,1
823,52,5,1
910,56,5,1
862,33,5,1
862,46,4,1
862,41,5,1
1104,39,3,1
862,39,5,1
862,66,4,1
862,61,5,1
368,33,2,0
862,31,3,0
1095,36,4,1
368,52,4,1
1095,41,5,1
368,36,1,0
862,28,5,1
862,57,5,1
862,43,5,1
862,58,4,1
862,60,4,1
862,40,5,1
862,37,2,0
1078,56,3,0
845,38,4,1
822,36,2,0
850,27,5,1
866,47,4,1
1081,59,5,1
845,48,5,1
1082,31,4,1
850,28,2,0
836,47,5,1
1081,62,4,1
1072,68,5,1
863,61,5,1
1133,33,5,1
822,68,5,1
861,37,3,1
866,58,1,0
850,39,4,1
1081,39,4,1
845,38,2,0
836,24,4,1
1078,51,4,1
850,29,5,1
861,23,5,1
1081,31,5,1
850,23,4,1
863,83,5,1
845,44,1,0
861,44,1,0
1133,50,5,1
861,33,3,0
861,39,4,1
863,40,4,1
822,69,5,1
822,23,2,0
863,51,2,0
836,66,5,1
836,47,4,1
836,66,4,1
836,23,5,1
1081,47,5,1
861,44,1,0
1081,44,3,1
836,50,5,1
1081,61,5,1
1082,32,2,0
863,52,4,1
1072,51,4,1
1078,32,5,1
850,37,2,0
836,54,5,1
861,33,5,1
966,63,5,1
1196,29,5,1
836,24,5,1
923,50,3,0
1072,34,3,1
1133,71,4,1
1133,30,5,1
966,52,4,1
863,28,5,1
845,62,4,1
1081,39,3,1
861,46,4,1
966,36,5,1
845,65,5,1
861,35,4,1
966,31,4,1
836,52,4,1
126,34,4,1
1008,31,5,1
829,36,5,1
828,39,4,1
1126,35,5,1
1008,51,5,1
829,39,3,0
828,39,3,1
1008,39,5,1
1011,47,5,1
1008,64,5,1
1008,38,5,1
1008,36,5,1
1008,39,4,1
829,53,3,0
829,36,3,1
829,44,3,1
829,48,5,1
1008,37,5,1
523,43,3,0
829,53,4,1
829,33,4,1
1126,39,4,1
829,52,1,0
829,64,4,1
1008,52,5,1
1126,42,4,1
829,35,3,0
1020,56,5,1
895,55,5,1
